ID;Treatment;Time;Acenaphthylene;Phenanthrene;Anthracene;Fluoranthene;Pyrene;Benzoanthracene;Crysene;Benzoapireno
1;AM-Bk C-12;0;124,9984228;86,58838573;38,49213713;75,80349723;234,6720024;44,39209465;64,31495144;70,92547065
2;AM-Bk C-12;0;114,1330244;37,63050178;34,9901227;64,68108198;238,1381782;63,6839622;73,03347415;82,32884571
3;AM-Bk C-12;0;117,4322932;37,2435758;38,42407785;72,75927574;237,3413823;63,31480716;78,47676243;90,12296443
4;AM-Bk C-13;0;120,7823059;50,52591833;40,05427908;69,97535536;244,1538398;91,74288089;73,20031085;101,0550582
5;AM-Bk C-13;0;119,7265044;50,08425314;39,70415025;69,36367566;242,0196035;90,94092343;72,56044065;100,1716996
6;AM-Bk C-13;0;128,5574286;86,85897532;47,16394977;70,48938945;265,3682517;123,8539649;80,04984574;85,34926974
1;AM-Bk C-12;7;122,4809948;33,25108039;37,30511336;66,5769904;250,3569166;61,13873647;75,8274951;58,70974067
2;AM-Bk C-12;7;119,8354885;37,43277562;41,7478226;65,48259461;241,2711278;129,4281299;70,00895944;82,23630782
3;AM-Bk C-12;7;125,1560554;35,22719677;39,31486088;67,33428026;251,1370627;126,6940914;74,6330951;103,9339103
4;AM-Bk C-13;7;114,1494608;49,73790389;38,35572586;57,66416633;254,1662452;114,3010469;57,53221812;78,85365424
5;AM-Bk C-13;7;124,5590625;44,06665446;37,74254855;66,32080662;244,0125828;106,1348285;72,04257978;75,48838045
6;AM-Bk C-13;7;117,7733615;36,58473738;35,09266738;61,34079164;224,9838482;104,0331679;70,59064335;99,0828342
1;AM-Bk C-12;15;127,1462843;33,28442086;37,67356224;65,05213125;238,3032353;120,2671419;83,78409585;114,2389297
2;AM-Bk C-12;15;129,3239178;33,86297223;37,59071431;57,42825056;233,0058468;109,598903;79,05050628;96,32349017
4;AM-Bk C-13;15;124,6614232;34,20178046;43,59728375;63,35658163;221,0463837;96,75351827;74,02133437;98,78333178
5;AM-Bk C-13;15;108,5236908;66,88866815;33,38160874;54,11099756;189,3208382;80,49495515;66,20551955;91,16700219
6;AM-Bk C-13;15;108,6801912;35,90090747;35,34032053;62,05496092;213,8771151;98,41150066;65,62918201;94,87826434
2;AM-Bk C-12;30;129,3239178;33,86297223;37,59071431;57,42825056;233,0058468;109,598903;79,05050628;96,32349017
3;AM-Bk C-12;30;121,336292;33,35733133;38,73068835;55,57909469;196,0840213;98,05880806;66,39854403;100,3929031
4;AM-Bk C-13;30;121,0137726;39,3043922;41,54168923;54,14292919;208,8336513;119,8593888;61,01861972;78,06628084
6;AM-Bk C-13;30;120,8658706;32,14042246;37,35800641;62,4857761;207,5337812;101,362144;76,4077155;83,94092706
